respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample
1,2,1.2524284086434012,1,1,4,1973,1,3,1370,70,9,2,0,0,1,1
2,1,1.2038247711023997,1,1,4,1972,1,4,3000,90,2,1,0,0,1,1
3,1,1.2038247711023997,1,1,4,1954,2,4,688,90,2,1,0,0,1,1
4,42,0.5445972257083529,1,2,1,1950,1,3,1438,160,17,42,1,1,1,1
5,4,1.2075648348440184,2,1,4,2004,2,5,-50,50,8,4,0,0,1,1
6,2,1.2524284086434012,1,1,4,1978,2,5,800,90,2,2,0,0,1,1
7,-50,1.2038247711023997,3,1,-10,1996,2,3,-7,60,95,-50,,,0,0
8,3,1.2038247711023997,3,1,-10,1952,2,2,-50,50,95,3,0,0,1,1
9,4,1.2075648348440184,1,1,4,1996,1,5,36000,10,8,4,0,0,1,1
10,3,1.2524284086434012,1,1,4,1984,1,3,4500,80,1,3,0,0,1,1
11,1,1.2038247711023997,1,1,4,1957,2,2,1063,30,7,1,0,0,1,1
12,1,1.2524284086434012,1,1,4,2002,1,3,1800,90,2,1,0,0,1,1
13,4,1.2038247711023997,1,1,4,1954,1,3,3250,90,2,4,0,0,1,1
14,42,0.5011444524580629,1,2,1,1978,1,4,2375,120,12,42,1,1,1,1
15,2,1.2524284086434012,1,1,2,1984,2,3,1000,50,16,2,0,0,1,1
16,-8,1.2075648348440184,1,1,4,1972,2,3,1822,50,8,-8,,,0,0
17,91,1.2075648348440184,3,1,-10,1994,2,5,-50,80,95,91,0,,1,0
18,-7,0.5408545025487828,1,2,1,1963,2,4,-9,140,15,-7,,,0,0
19,-7,1.2038247711023997,1,1,4,1992,1,5,2375,80,1,-7,,,0,0
20,2,1.2075648348440184,1,1,4,1941,1,4,4250,60,9,2,0,0,1,1
21,91,0.5408545025487828,1,2,-10,1991,2,5,1500,160,95,91,0,,1,0
22,91,0.5011444524580629,1,2,3,1963,1,3,1722,112,4,91,0,,1,0
23,42,1.2038247711023997,1,1,4,1955,2,-9,450,50,8,42,1,1,1,1
24,-8,1.2038247711023997,1,1,4,1954,2,2,1313,50,8,-8,,,0,0
25,4,1.2038247711023997,1,1,4,1980,2,5,2125,111,6,4,0,0,1,1
26,-7,0.5445972257083529,1,2,1,1945,2,2,-9,140,15,-7,,,0,0
27,6,1.2038247711023997,1,1,4,1974,2,5,1313,80,1,6,0,0,1,1
28,-8,1.2075648348440184,1,1,4,1985,1,-33,3400,50,8,-8,,,0,0
29,2,0.5011444524580629,1,2,-10,1938,1,2,1700,140,18,2,0,0,1,1
30,-8,1.2075648348440184,1,1,4,1961,1,3,1600,50,8,-8,,,0,0
31,1,1.2038247711023997,1,1,4,1962,2,5,6750,50,8,1,0,0,1,1
32,1,1.2038247711023997,1,1,4,1979,2,2,-50,90,2,1,0,0,1,1
33,-50,1.2524284086434012,3,1,-10,1975,1,5,3000,90,95,-50,,,0,0
34,2,1.2524284086434012,1,1,4,1988,1,3,551,111,4,2,0,0,1,1
35,2,1.2038247711023997,1,1,4,1990,1,3,2865,80,1,2,0,0,1,1
36,91,0.5011444524580629,1,2,-32,1971,2,-9,-9,112,-9,91,0,,1,0
37,1,1.2075648348440184,1,1,4,1961,2,3,2000,90,2,1,0,0,1,1
38,2,1.2524284086434012,1,1,4,1965,2,3,960,30,7,2,0,0,1,1
39,2,1.2038247711023997,1,1,-10,1978,2,5,1438,80,95,2,0,0,1,1
40,-9,1.2038247711023997,1,1,4,1991,1,3,3500,50,8,-9,,,0,0
41,42,1.2075648348440184,1,1,4,1948,1,5,4500,50,8,42,1,1,1,1
42,90,0.5011444524580629,1,2,1,1983,1,5,2375,140,12,90,0,0,1,1
43,1,1.2524284086434012,1,1,4,1974,1,3,4300,10,11,1,0,0,1,1
44,4,1.2038247711023997,1,1,4,1943,2,6,1188,80,8,4,0,0,1,1
45,4,1.2075648348440184,1,1,4,1990,2,5,2700,50,7,4,0,0,1,1
46,4,1.2524284086434012,1,1,4,1956,1,5,2350,111,8,4,0,0,1,1
47,1,1.2524284086434012,1,1,4,1961,2,2,1875,10,11,1,0,0,1,1
48,1,0.5011444524580629,1,2,1,1957,2,3,1200,130,14,1,0,0,1,1
49,-9,1.2075648348440184,1,1,4,1972,2,2,-9,50,8,-9,,,0,0
50,6,0.5011444524580629,1,2,1,1998,1,2,889,140,15,6,0,0,1,1
51,6,0.5445972257083529,1,2,1,1954,2,3,1063,150,16,6,0,0,1,1
52,4,1.2524284086434012,1,1,4,1990,1,5,1700,90,2,4,0,0,1,1
53,42,1.2524284086434012,1,1,4,1950,1,2,550,50,7,42,1,1,1,1
54,4,1.2524284086434012,1,1,4,1986,1,5,4085,80,1,4,0,0,1,1
55,4,1.2524284086434012,1,1,4,1999,1,3,2600,30,7,4,0,0,1,1
56,1,1.2075648348440184,1,1,4,1950,1,4,5000,80,1,1,0,0,1,1
57,1,1.2038247711023997,1,1,4,1952,2,3,-7,50,8,1,0,0,1,1
58,-9,0.5408545025487828,1,2,-10,1942,1,2,1438,150,95,-9,,,0,0
59,-50,1.2524284086434012,3,1,4,1968,1,2,2125,30,7,-50,,,0,0
60,4,0.5408545025487828,1,2,1,1993,1,3,2200,160,17,4,0,0,1,1
61,1,1.2524284086434012,1,1,4,2001,2,5,2400,90,2,1,0,0,1,1
62,-9,1.2075648348440184,1,1,-10,1966,1,3,-9,90,18,-9,,,0,0
63,42,0.5011444524580629,1,2,1,1987,1,2,1875,140,12,42,1,1,1,1
64,4,1.2524284086434012,1,1,4,2003,2,5,520,80,1,4,0,0,1,1
65,-8,1.2038247711023997,1,1,4,1994,1,5,1625,90,2,-8,,,0,0
66,2,1.2524284086434012,1,1,4,1948,1,2,-9,70,9,2,0,0,1,1
67,-8,0.5408545025487828,1,2,1,1986,2,5,1600,130,14,-8,,,0,0
68,1,1.2075648348440184,1,1,4,1974,1,2,1800,90,2,1,0,0,1,1
69,1,0.5408545025487828,1,2,1,1958,2,4,1200,160,17,1,0,0,1,1
70,2,0.5445972257083529,1,2,1,1982,3,5,2875,140,15,2,0,0,1,1
71,2,0.5011444524580629,1,2,1,1964,1,3,3300,120,12,2,0,0,1,1
72,3,1.2075648348440184,2,1,4,1994,2,5,1780,60,6,3,0,0,1,1
73,-8,1.2524284086434012,3,1,4,1981,1,2,1800,80,1,-8,,,0,0
74,4,1.2524284086434012,1,1,4,1993,2,5,2400,90,2,4,0,0,1,1
75,1,1.2075648348440184,1,1,4,1941,1,2,-7,50,7,1,0,0,1,1
76,6,0.5011444524580629,1,2,1,1980,2,3,1336,112,13,6,0,0,1,1
77,-9,1.2038247711023997,1,1,4,1988,2,3,-9,80,1,-9,,,0,0
78,4,1.2038247711023997,1,1,4,1992,1,5,3037,50,8,4,0,0,1,1
79,42,0.5011444524580629,1,2,1,1959,1,3,1200,140,15,42,1,1,1,1
80,1,0.5011444524580629,1,2,1,1979,2,3,-50,140,16,1,0,0,1,1
81,42,1.2038247711023997,1,1,4,1981,2,2,1200,30,6,42,1,1,1,1
82,4,1.2524284086434012,1,1,4,1961,1,3,1150,90,2,4,0,0,1,1
83,2,1.2038247711023997,1,1,4,1973,2,5,2875,20,5,2,0,0,1,1
84,-8,1.2075648348440184,1,1,4,1959,2,3,1063,90,2,-8,,,0,0
85,1,1.2075648348440184,1,1,4,1983,2,3,1300,90,2,1,0,0,1,1
86,2,1.2038247711023997,1,1,4,1946,1,5,1313,30,7,2,0,0,1,1
87,42,1.2524284086434012,1,1,4,1969,1,2,2800,30,7,42,1,1,1,1
88,4,1.2524284086434012,1,1,4,1950,2,5,600,80,8,4,0,0,1,1
