respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample,east_youth,age_1990,age_2023,dose_years,born_after_1990,gdr_exposed,gdr_socialized_10plus
1,2,1.2524284086434012,1.0,1.0,4.0,1973.0,1.0,3.0,1370.0,70.0,9.0,2,0,0,1,1,0,17.0,50.0,0.0,0,0,0
2,1,1.2038247711023997,1.0,1.0,4.0,1972.0,1.0,4.0,3000.0,90.0,2.0,1,0,0,1,1,0,18.0,51.0,0.0,0,0,0
3,1,1.2038247711023997,1.0,1.0,4.0,1954.0,2.0,4.0,688.0,90.0,2.0,1,0,0,1,1,0,36.0,69.0,0.0,0,0,0
4,42,0.5445972257083529,1.0,2.0,1.0,1950.0,1.0,3.0,1438.0,160.0,17.0,42,1,1,1,1,1,40.0,73.0,18.0,0,1,1
5,4,1.2075648348440184,2.0,1.0,4.0,2004.0,2.0,5.0,,50.0,8.0,4,0,0,1,1,0,-14.0,19.0,0.0,1,0,0
6,2,1.2524284086434012,1.0,1.0,4.0,1978.0,2.0,5.0,800.0,90.0,2.0,2,0,0,1,1,0,12.0,45.0,0.0,0,0,0
7,-50,1.2038247711023997,3.0,1.0,,1996.0,2.0,3.0,,60.0,95.0,-50,,,0,0,,-6.0,27.0,,1,,
8,3,1.2038247711023997,3.0,1.0,,1952.0,2.0,2.0,,50.0,95.0,3,0,0,1,1,,38.0,71.0,,0,,
9,4,1.2075648348440184,1.0,1.0,4.0,1996.0,1.0,5.0,36000.0,10.0,8.0,4,0,0,1,1,0,-6.0,27.0,0.0,1,0,0
10,3,1.2524284086434012,1.0,1.0,4.0,1984.0,1.0,3.0,4500.0,80.0,1.0,3,0,0,1,1,0,6.0,39.0,0.0,0,0,0
11,1,1.2038247711023997,1.0,1.0,4.0,1957.0,2.0,2.0,1063.0,30.0,7.0,1,0,0,1,1,0,33.0,66.0,0.0,0,0,0
12,1,1.2524284086434012,1.0,1.0,4.0,2002.0,1.0,3.0,1800.0,90.0,2.0,1,0,0,1,1,0,-12.0,21.0,0.0,1,0,0
13,4,1.2038247711023997,1.0,1.0,4.0,1954.0,1.0,3.0,3250.0,90.0,2.0,4,0,0,1,1,0,36.0,69.0,0.0,0,0,0
14,42,0.5011444524580629,1.0,2.0,1.0,1978.0,1.0,4.0,2375.0,120.0,12.0,42,1,1,1,1,1,12.0,45.0,12.0,0,1,1
15,2,1.2524284086434012,1.0,1.0,2.0,1984.0,2.0,3.0,1000.0,50.0,16.0,2,0,0,1,1,1,6.0,39.0,6.0,0,1,0
16,-8,1.2075648348440184,1.0,1.0,4.0,1972.0,2.0,3.0,1822.0,50.0,8.0,-8,,,0,0,0,18.0,51.0,0.0,0,0,0
17,91,1.2075648348440184,3.0,1.0,,1994.0,2.0,5.0,,80.0,95.0,91,0,,1,0,,-4.0,29.0,,1,,
18,-7,0.5408545025487828,1.0,2.0,1.0,1963.0,2.0,4.0,,140.0,15.0,-7,,,0,0,1,27.0,60.0,18.0,0,1,1
19,-7,1.2038247711023997,1.0,1.0,4.0,1992.0,1.0,5.0,2375.0,80.0,1.0,-7,,,0,0,0,-2.0,31.0,0.0,1,0,0
20,2,1.2075648348440184,1.0,1.0,4.0,1941.0,1.0,4.0,4250.0,60.0,9.0,2,0,0,1,1,0,49.0,82.0,0.0,0,0,0
21,91,0.5408545025487828,1.0,2.0,,1991.0,2.0,5.0,1500.0,160.0,95.0,91,0,,1,0,,-1.0,32.0,,1,,
22,91,0.5011444524580629,1.0,2.0,3.0,1963.0,1.0,3.0,1722.0,112.0,4.0,91,0,,1,0,0,27.0,60.0,0.0,0,0,0
23,42,1.2038247711023997,1.0,1.0,4.0,1955.0,2.0,,450.0,50.0,8.0,42,1,1,1,1,0,35.0,68.0,0.0,0,0,0
24,-8,1.2038247711023997,1.0,1.0,4.0,1954.0,2.0,2.0,1313.0,50.0,8.0,-8,,,0,0,0,36.0,69.0,0.0,0,0,0
25,4,1.2038247711023997,1.0,1.0,4.0,1980.0,2.0,5.0,2125.0,111.0,6.0,4,0,0,1,1,0,10.0,43.0,0.0,0,0,0
26,-7,0.5445972257083529,1.0,2.0,1.0,1945.0,2.0,2.0,,140.0,15.0,-7,,,0,0,1,45.0,78.0,18.0,0,1,1
27,6,1.2038247711023997,1.0,1.0,4.0,1974.0,2.0,5.0,1313.0,80.0,1.0,6,0,0,1,1,0,16.0,49.0,0.0,0,0,0
28,-8,1.2075648348440184,1.0,1.0,4.0,1985.0,1.0,-33.0,3400.0,50.0,8.0,-8,,,0,0,0,5.0,38.0,0.0,0,0,0
29,2,0.5011444524580629,1.0,2.0,,1938.0,1.0,2.0,1700.0,140.0,18.0,2,0,0,1,1,,52.0,85.0,,0,,
30,-8,1.2075648348440184,1.0,1.0,4.0,1961.0,1.0,3.0,1600.0,50.0,8.0,-8,,,0,0,0,29.0,62.0,0.0,0,0,0
31,1,1.2038247711023997,1.0,1.0,4.0,1962.0,2.0,5.0,6750.0,50.0,8.0,1,0,0,1,1,0,28.0,61.0,0.0,0,0,0
32,1,1.2038247711023997,1.0,1.0,4.0,1979.0,2.0,2.0,,90.0,2.0,1,0,0,1,1,0,11.0,44.0,0.0,0,0,0
33,-50,1.2524284086434012,3.0,1.0,,1975.0,1.0,5.0,3000.0,90.0,95.0,-50,,,0,0,,15.0,48.0,,0,,
34,2,1.2524284086434012,1.0,1.0,4.0,1988.0,1.0,3.0,551.0,111.0,4.0,2,0,0,1,1,0,2.0,35.0,0.0,0,0,0
35,2,1.2038247711023997,1.0,1.0,4.0,1990.0,1.0,3.0,2865.0,80.0,1.0,2,0,0,1,1,0,0.0,33.0,0.0,0,0,0
36,91,0.5011444524580629,1.0,2.0,,1971.0,2.0,,,112.0,,91,0,,1,0,,19.0,52.0,,0,,
37,1,1.2075648348440184,1.0,1.0,4.0,1961.0,2.0,3.0,2000.0,90.0,2.0,1,0,0,1,1,0,29.0,62.0,0.0,0,0,0
