respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample,east_youth,age_1990,age_2023,dose_years,born_after_1990,gdr_exposed,gdr_socialized_10plus
1,2,1.2524284086434012,1.0,1.0,4.0,1973.0,1.0,3.0,1370.0,70.0,9.0,2,0,0,1,1,0,17.0,50.0,0.0,0,0,0
2,1,1.2038247711023997,1.0,1.0,4.0,1972.0,1.0,4.0,3000.0,90.0,2.0,1,0,0,1,1,0,18.0,51.0,0.0,0,0,0
3,1,1.2038247711023997,1.0,1.0,4.0,1954.0,2.0,4.0,688.0,90.0,2.0,1,0,0,1,1,0,36.0,69.0,0.0,0,0,0
4,42,0.5445972257083529,1.0,2.0,1.0,1950.0,1.0,3.0,1438.0,160.0,17.0,42,1,1,1,1,1,40.0,73.0,18.0,0,1,1
5,4,1.2075648348440184,2.0,1.0,4.0,2004.0,2.0,5.0,,50.0,8.0,4,0,0,1,1,0,-14.0,19.0,0.0,1,0,0
6,2,1.2524284086434012,1.0,1.0,4.0,1978.0,2.0,5.0,800.0,90.0,2.0,2,0,0,1,1,0,12.0,45.0,0.0,0,0,0
9,4,1.2075648348440184,1.0,1.0,4.0,1996.0,1.0,5.0,36000.0,10.0,8.0,4,0,0,1,1,0,-6.0,27.0,0.0,1,0,0
10,3,1.2524284086434012,1.0,1.0,4.0,1984.0,1.0,3.0,4500.0,80.0,1.0,3,0,0,1,1,0,6.0,39.0,0.0,0,0,0
11,1,1.2038247711023997,1.0,1.0,4.0,1957.0,2.0,2.0,1063.0,30.0,7.0,1,0,0,1,1,0,33.0,66.0,0.0,0,0,0
12,1,1.2524284086434012,1.0,1.0,4.0,2002.0,1.0,3.0,1800.0,90.0,2.0,1,0,0,1,1,0,-12.0,21.0,0.0,1,0,0
13,4,1.2038247711023997,1.0,1.0,4.0,1954.0,1.0,3.0,3250.0,90.0,2.0,4,0,0,1,1,0,36.0,69.0,0.0,0,0,0
14,42,0.5011444524580629,1.0,2.0,1.0,1978.0,1.0,4.0,2375.0,120.0,12.0,42,1,1,1,1,1,12.0,45.0,12.0,0,1,1
15,2,1.2524284086434012,1.0,1.0,2.0,1984.0,2.0,3.0,1000.0,50.0,16.0,2,0,0,1,1,1,6.0,39.0,6.0,0,1,0
20,2,1.2075648348440184,1.0,1.0,4.0,1941.0,1.0,4.0,4250.0,60.0,9.0,2,0,0,1,1,0,49.0,82.0,0.0,0,0,0
23,42,1.2038247711023997,1.0,1.0,4.0,1955.0,2.0,,450.0,50.0,8.0,42,1,1,1,1,0,35.0,68.0,0.0,0,0,0
25,4,1.2038247711023997,1.0,1.0,4.0,1980.0,2.0,5.0,2125.0,111.0,6.0,4,0,0,1,1,0,10.0,43.0,0.0,0,0,0
27,6,1.2038247711023997,1.0,1.0,4.0,1974.0,2.0,5.0,1313.0,80.0,1.0,6,0,0,1,1,0,16.0,49.0,0.0,0,0,0
31,1,1.2038247711023997,1.0,1.0,4.0,1962.0,2.0,5.0,6750.0,50.0,8.0,1,0,0,1,1,0,28.0,61.0,0.0,0,0,0
32,1,1.2038247711023997,1.0,1.0,4.0,1979.0,2.0,2.0,,90.0,2.0,1,0,0,1,1,0,11.0,44.0,0.0,0,0,0
34,2,1.2524284086434012,1.0,1.0,4.0,1988.0,1.0,3.0,551.0,111.0,4.0,2,0,0,1,1,0,2.0,35.0,0.0,0,0,0
35,2,1.2038247711023997,1.0,1.0,4.0,1990.0,1.0,3.0,2865.0,80.0,1.0,2,0,0,1,1,0,0.0,33.0,0.0,0,0,0
37,1,1.2075648348440184,1.0,1.0,4.0,1961.0,2.0,3.0,2000.0,90.0,2.0,1,0,0,1,1,0,29.0,62.0,0.0,0,0,0
38,2,1.2524284086434012,1.0,1.0,4.0,1965.0,2.0,3.0,960.0,30.0,7.0,2,0,0,1,1,0,25.0,58.0,0.0,0,0,0
41,42,1.2075648348440184,1.0,1.0,4.0,1948.0,1.0,5.0,4500.0,50.0,8.0,42,1,1,1,1,0,42.0,75.0,0.0,0,0,0
42,90,0.5011444524580629,1.0,2.0,1.0,1983.0,1.0,5.0,2375.0,140.0,12.0,90,0,0,1,1,1,7.0,40.0,7.0,0,1,0
43,1,1.2524284086434012,1.0,1.0,4.0,1974.0,1.0,3.0,4300.0,10.0,11.0,1,0,0,1,1,0,16.0,49.0,0.0,0,0,0
44,4,1.2038247711023997,1.0,1.0,4.0,1943.0,2.0,6.0,1188.0,80.0,8.0,4,0,0,1,1,0,47.0,80.0,0.0,0,0,0
45,4,1.2075648348440184,1.0,1.0,4.0,1990.0,2.0,5.0,2700.0,50.0,7.0,4,0,0,1,1,0,0.0,33.0,0.0,0,0,0
46,4,1.2524284086434012,1.0,1.0,4.0,1956.0,1.0,5.0,2350.0,111.0,8.0,4,0,0,1,1,0,34.0,67.0,0.0,0,0,0
47,1,1.2524284086434012,1.0,1.0,4.0,1961.0,2.0,2.0,1875.0,10.0,11.0,1,0,0,1,1,0,29.0,62.0,0.0,0,0,0
48,1,0.5011444524580629,1.0,2.0,1.0,1957.0,2.0,3.0,1200.0,130.0,14.0,1,0,0,1,1,1,33.0,66.0,18.0,0,1,1
50,6,0.5011444524580629,1.0,2.0,1.0,1998.0,1.0,2.0,889.0,140.0,15.0,6,0,0,1,1,1,-8.0,25.0,0.0,1,0,0
51,6,0.5445972257083529,1.0,2.0,1.0,1954.0,2.0,3.0,1063.0,150.0,16.0,6,0,0,1,1,1,36.0,69.0,18.0,0,1,1
52,4,1.2524284086434012,1.0,1.0,4.0,1990.0,1.0,5.0,1700.0,90.0,2.0,4,0,0,1,1,0,0.0,33.0,0.0,0,0,0
53,42,1.2524284086434012,1.0,1.0,4.0,1950.0,1.0,2.0,550.0,50.0,7.0,42,1,1,1,1,0,40.0,73.0,0.0,0,0,0
54,4,1.2524284086434012,1.0,1.0,4.0,1986.0,1.0,5.0,4085.0,80.0,1.0,4,0,0,1,1,0,4.0,37.0,0.0,0,0,0
