respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
1,0,0,1.2524284086434012,1973.0,17.0,0.12428419859265646,0.21814269061935776,0.18145884652019442,0.2438958713671148,-0.1154133041123597
2,0,0,1.2038247711023995,1972.0,18.0,0.12975739460999366,0.25545371130664574,0.22510920100298476,0.2890185853359909,-0.11061960534267352
3,0,0,1.2038247711023995,1954.0,36.0,0.22356892756434896,0.2198889134355111,0.03630712767484241,0.23034334511061533,0.11460755327615453
4,1,1,0.5445972257083529,1950.0,40.0,0.20101782734456955,0.12937890342176048,0.08185208878358471,4.378590920141051,0.2142603425591489
6,0,0,1.2524284086434012,1978.0,12.0,0.12675824952254486,0.13505257439119914,0.05601408448152659,0.14318348120320637,0.06178006420018354
10,0,0,1.2524284086434012,1984.0,6.0,0.0969015871578276,0.3056742770819254,0.18544049619365743,0.3255718631577863,0.08866719396186737
11,0,0,1.2038247711023995,1957.0,33.0,0.20402293771125957,0.10564181078793397,0.03489983445623818,0.1145872529228173,0.14029002090493614
13,0,0,1.2038247711023995,1954.0,36.0,0.19248567474866207,0.24392023977997176,0.07671077825016827,0.2622056440759052,0.07537037679495352
14,1,1,0.5011444524580629,1978.0,12.0,0.11183647340589196,0.3252326548293914,0.09506896105055576,6.263681423917306,0.16456336774089808
15,0,0,1.2524284086434012,1984.0,6.0,0.1241002456146462,0.1330164299839337,0.06730446229771149,0.14255233892818142,0.07834689667803958
20,0,0,1.2075648348440184,1941.0,49.0,0.23809156042755414,0.15348572075097977,0.01535903059371356,0.15828532050703956,0.0662298046794077
23,1,0,1.2038247711023995,1955.0,35.0,0.21295806728535763,0.12065555875101669,0.015969020818384454,-1.1456038700860665,0.08279973702405924
25,0,0,1.2038247711023995,1980.0,10.0,0.1321610417032794,0.14886659276467984,0.03939991178984994,0.15486670757328874,0.23583343687788358
27,0,0,1.2038247711023995,1974.0,16.0,0.15094034706391996,0.2325069524046209,0.06044768725806328,0.2432529522438457,0.32003459909596826
31,0,0,1.2038247711023995,1962.0,28.0,0.19501231427422602,0.26573515367169104,0.044034572321266605,0.27640275021846766,0.2094532732645644
32,0,0,1.2038247711023995,1979.0,11.0,0.12379137200936438,0.13505257439119914,0.0655708809726372,0.14431647463157915,0.18469742345423568
34,0,0,1.2524284086434012,1988.0,2.0,0.08854154023224435,0.3056742770819254,0.1470392523986499,0.31995806779389213,0.16793613349089045
35,0,0,1.2038247711023995,1990.0,0.0,0.08192911792600192,0.2719716351034231,0.14600050556236704,0.2850007953469683,0.154745865279956
37,0,0,1.2075648348440184,1961.0,29.0,0.1961611957850939,0.2349083589334418,0.05613499635984642,0.24860701089401005,0.18510914339070403
38,0,0,1.2524284086434012,1965.0,25.0,0.18167822126762756,0.3807181404080975,0.021336955367788533,0.3854552257444935,0.29377314245461095
41,1,0,1.2075648348440184,1948.0,42.0,0.2082071314471716,0.18950301624177912,0.05070210491159043,-1.0601210956632001,0.07639730350578791
42,0,0,0.5011444524580629,1983.0,7.0,0.09749420638867712,0.2719716351034231,0.2654890205244577,0.300651386019334,0.047315634348001935
