variable,dtype,missing_share,nunique,top_values
za_nr,int64,0.0,1,{8830: 5246}
doi,object,0.0,1,{'https://doi.org/10.4232/1.14544': 5246}
version,object,0.0,1,"{'v1.2.0, 2025-07-30': 5246}"
eastwest,int64,0.0,2,"{1: 3567, 2: 1679}"
xs15,int64,0.0,2,"{2: 5165, 1: 81}"
substudy,int64,0.0,3,"{-15: 2003, 1: 1698, 2: 1545}"
mode,int64,0.0,3,"{2: 2003, 4: 1656, 3: 1587}"
splt23_1,int64,0.0,3,"{-15: 2003, 1: 1647, 2: 1596}"
splt23_2,int64,0.0,3,"{-15: 3243, 1: 1028, 2: 975}"
dn07,int64,0.0,3,"{1: 4562, 2: 660, -9: 24}"
dh01,int64,0.0,3,"{1: 3983, 2: 1181, -9: 82}"
hh6mstat,int64,0.0,3,"{-10: 5184, 5: 53, -9: 9}"
hh8sex,int64,0.0,3,"{-10: 5235, 1: 10, -9: 1}"
hh8mstat,int64,0.0,3,"{-10: 5235, 5: 9, -9: 2}"
sm03,int64,0.0,3,"{2: 4988, 1: 164, -9: 94}"
xs01,int64,0.0,3,"{1: 4471, 0: 705, -9: 70}"
xs02,int64,0.0,3,"{0: 4680, 1: 496, -9: 70}"
xs03,int64,0.0,3,"{0: 5029, 1: 147, -9: 70}"
xs04,int64,0.0,3,"{0: 5106, -9: 70, 1: 70}"
xs05,int64,0.0,3,"{0: 5147, -9: 70, 1: 29}"
xs14a,int64,0.0,3,"{-15: 3659, 0: 1333, 1: 254}"
xi02,int64,0.0,3,"{-15: 3243, 1: 1250, 2: 753}"
german,int64,0.0,4,"{1: 4740, 3: 343, 2: 135, -32: 28}"
xr19,int64,0.0,4,"{1: 3238, -15: 1587, 2: 420, -8: 1}"
dn04,int64,0.0,4,"{1: 5064, 2: 148, -32: 28, 0: 6}"
dn05,int64,0.0,4,"{1: 4588, -10: 371, 2: 268, -9: 19}"
mc01,int64,0.0,4,"{2: 2348, -11: 1596, 1: 1243, -9: 59}"
mc03,int64,0.0,4,"{1: 1846, 2: 1745, -11: 1596, -9: 59}"
mc04,int64,0.0,4,"{1: 2378, -11: 1596, 2: 1230, -9: 42}"
rd06,int64,0.0,4,"{-10: 5208, 2: 17, -41: 11, 1: 10}"
rd07,int64,0.0,4,"{-10: 5229, -41: 11, 5: 3, 1: 3}"
hh6sex,int64,0.0,4,"{-10: 5184, 1: 34, 2: 23, -9: 5}"
